,电影,票房占比,综合票房,场均人次,排片占比,上座率
1498,灰姑娘,0.8%,48.27,6,2.1%,9.0%
1499,魔法总动员,0.6%,38.84,3,3.8%,4.0%
1500,爸爸的假期,0.2%,15.13,57,<0.1%,100%
1501,飓风营救3,0.2%,13.94,4,0.6%,10.2%
1502,失孤,0.2%,12.74,5,0.6%,11.8%
1503,一万年以后,<0.1%,5.23,3,0.4%,7.0%
1504,狼图腾,<0.1%,3.34,6,0.1%,12.0%
1505,澳门风云2,<0.1%,2.78,28,<0.1%,82.4%
1506,摩尔庄园3：魔幻列车大冒险,<0.1%,2.64,181,<0.1%,100%
1507,封门诡影,<0.1%,2.45,2,0.6%,8.8%
1508,可爱的你,<0.1%,1.89,6,<0.1%,14.8%
1509,黄克功案件,<0.1%,1.45,242,<0.1%,100.0%
1510,无敌小飞猪,<0.1%,1.24,1,0.7%,1.4%
1511,战狼,43.8%,2434.05,18,28.8%,18.7%
1512,咱们结婚吧,23.7%,1320.23,13,22.7%,15.5%
1513,王牌特工：特工学院,19.9%,1108.12,16,15.5%,16.0%
1514,暴疯语,3.3%,184.43,5,8.4%,8.0%
1515,冲锋车,2.3%,131.65,5,6.0%,8.0%
1516,白幽灵传奇之绝命逃亡,1.8%,100.83,4,5.0%,7.3%
1517,兔侠之青黎传说,1.1%,61.77,70,0.1%,100%
1518,灰姑娘,0.8%,47.80,6,2.1%,8.6%
1519,三更车库,0.8%,47.42,4,3.1%,7.2%
1520,魔法总动员,0.6%,35.08,3,3.5%,3.4%
1521,爸爸的假期,0.4%,22.55,93,<0.1%,100%
1522,飓风营救3,0.2%,13.75,4,0.6%,10.1%
1523,失孤,0.1%,10.29,4,0.6%,8.4%
1524,一万年以后,<0.1%,5.07,3,0.4%,6.3%
1525,狼图腾,<0.1%,4.61,8,0.1%,16.0%
1526,摩尔庄园3：魔幻列车大冒险,<0.1%,3.18,216,<0.1%,100%
1527,可爱的你,<0.1%,2.71,10,<0.1%,24.2%
1528,天河,<0.1%,2.65,132,<0.1%,100%
1529,封门诡影,<0.1%,2.65,2,0.6%,9.1%
1530,超能陆战队,<0.1%,1.55,122,<0.1%,--
1531,无敌小飞猪,<0.1%,1.36,1,0.7%,1.5%
1532,菜鸟,<0.1%,1.02,1,0.3%,5.9%
1533,战狼,43.4%,3153.17,23,29.0%,23.5%
1534,王牌特工：特工学院,22.2%,1610.38,22,15.6%,22.8%
1535,咱们结婚吧,22.1%,1607.51,16,22.4%,19.0%
1536,暴疯语,2.9%,217.29,7,7.7%,10.2%
1537,冲锋车,2.0%,145.22,6,5.6%,9.3%
1538,白幽灵传奇之绝命逃亡,1.5%,113.90,5,4.5%,9.2%
1539,魔法总动员,1.1%,85.67,6,3.2%,9.6%
1540,灰姑娘,0.9%,71.90,9,1.9%,13.7%
1541,三更车库,0.7%,55.74,5,2.8%,9.1%
1542,兔侠之青黎传说,0.7%,53.57,72,0.1%,100%
1543,特功明星,0.4%,30.74,3,2.9%,3.9%
1544,爸爸的假期,0.2%,20.77,93,<0.1%,100%
1545,飓风营救3,0.2%,18.88,6,0.5%,15.7%
1546,失孤,0.1%,11.95,5,0.5%,12.3%
1547,狼图腾,0.1%,11.24,10,0.1%,19.0%
1548,一万年以后,0.1%,10.49,6,0.3%,16.5%
1549,可爱的你,<0.1%,5.66,16,<0.1%,31.7%
1550,乡村里的中国,<0.1%,4.66,55,<0.1%,69.2%
1551,摩尔庄园3：魔幻列车大冒险,<0.1%,3.35,179,<0.1%,100%
1552,无敌小飞猪,<0.1%,3.26,2,0.5%,5.6%
1553,封门诡影,<0.1%,3.06,2,0.5%,11.9%
1554,天河,<0.1%,3.03,103,<0.1%,100%
1555,寻找声音的耳朵,<0.1%,2.98,249,<0.1%,--
1556,通道转兵,<0.1%,2.55,136,<0.1%,--
1557,速度与激情7,<0.1%,1.34,18,<0.1%,100%
1558,菜鸟,<0.1%,1.20,2,0.2%,7.9%
